current_time, x_position, y_position, U_velocity, V_velocity
1615691466.96, 0.0, 0.0, 0.0, 0.0, 0.0
1615691466.98, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.0, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.02, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.04, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.06, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.08, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.1, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.12, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.14, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.16, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.18, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.2, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.22, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.24, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.26, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.28, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.3, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.32, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.34, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.36, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.38, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.4, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.42, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.44, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.46, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.48, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.5, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.52, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.54, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.56, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.58, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.6, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.62, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.64, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.66, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.68, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.7, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.72, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.74, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.76, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.78, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.8, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.82, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.84, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.86, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.88, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.9, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.91, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.94, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.96, 0.0, 0.0, 0.0, 0.0, 0.0
1615691467.98, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.0, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.01, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.04, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.05, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.07, 0.0, 0.0, 0.0, 0.0, 0.0
1615691468.1, 0.0, 0.0, 0.0, 0.0, 0.0
