current_time, x_position, y_position, U_velocity, V_velocity
1615692031.66, 0.0, 0.0, 0.0, 0.0, 6.28315586726
1615692031.68, 0.0, 0.0, 0.0, 0.0, 0.000326156620001
1615692031.7, 0.0, 0.0, 0.0, 0.0, 0.000750579840001
1615692031.72, 0.0, 0.0, 0.0, 0.0, 0.0011240387
1615692031.73, 0.0, 0.0, 0.0, 0.0, 0.0014988184
1615692031.75, 0.0, 0.0, 0.0, 0.0, 0.00191335678
1615692031.77, 0.0, 0.0, 0.0, 0.0, 0.0023126173
1615692031.8, 0.0, 0.0, 0.0, 0.0, 0.0027293396
1615692031.82, 0.0, 0.0, 0.0, 0.0, 0.003145957
1615692031.83, 0.0, 0.0, 0.0, 0.0, 0.00351739884
1615692031.86, 0.0, 0.0, 0.0, 0.0, 0.00392168044
1615692031.87, 0.0, 0.0, 0.0, 0.0, 0.00432205676
1615692031.89, 0.0, 0.0, 0.0, 0.0, 0.00472281932
1615692031.91, 0.0, 0.0, 0.0, 0.0, 0.00509634018
1615692031.93, 0.0, 0.0, 0.0, 0.0, 0.00549713612
1615692031.95, 0.0, 0.0, 0.0, 0.0, 0.00590819836
1615692031.97, 0.0, 0.0, 0.0, 0.0, 0.0063090992
1615692032.0, 0.0, 0.0, 0.0, 0.0, 0.00672894
1615692032.02, 0.0, 0.0, 0.0, 0.0, 0.00712162018
1615692032.03, 0.0, 0.0, 0.0, 0.0, 0.0075031805
1615692032.06, 0.0, 0.0, 0.0, 0.0, 0.00792123794
1615692032.08, 0.0, 0.0, 0.0, 0.0, 0.00832135678
1615692032.09, 0.0, 0.0, 0.0, 0.0, 0.00869909764
1615692032.11, 0.0, 0.0, 0.0, 0.0, 0.00908697604
1615692032.13, 0.0, 0.0, 0.0, 0.0, 0.00948541642
1615692032.15, 0.0, 0.0, 0.0, 0.0, 0.00990437984
1615692032.17, 0.0, 0.0, 0.0, 0.0, 0.01029751778
1615692032.19, 0.0, 0.0, 0.0, 0.0, 0.01068579674
1615692032.21, 0.0, 0.0, 0.0, 0.0, 0.0111033392
1615692032.23, 0.0, 0.0, 0.0, 0.0, 0.0115089798
1615692032.25, 0.0, 0.0, 0.0, 0.0, 0.01190013886
1615692032.27, 0.0, 0.0, 0.0, 0.0, 0.0122851181
