current_time, x_position, y_position, U_velocity, V_velocity
1615693300.12, 0.0, 0.0, 0.0, 0.0, 6.28315652528
1615693300.14, 0.0, 0.0, 0.0, 0.0, 0.00039735794
1615693300.16, 0.0, 0.0, 0.0, 0.0, 0.0007819414
1615693300.18, 0.0, 0.0, 0.0, 0.0, 0.00120116232
1615693300.2, 0.0, 0.0, 0.0, 0.0, 0.0015771389
1615693300.22, 0.0, 0.0, 0.0, 0.0, 0.00199106216
1615693300.24, 0.0, 0.0, 0.0, 0.0, 0.00239346026
1615693300.26, 0.0, 0.0, 0.0, 0.0, 0.00279036044
1615693300.28, 0.0, 0.0, 0.0, 0.0, 0.00320208072
1615693300.3, 0.0, 0.0, 0.0, 0.0, 0.00358684062
1615693300.32, 0.0, 0.0, 0.0, 0.0, 0.0039639616
1615693300.34, 0.0, 0.0, 0.0, 0.0, 0.00437439918
1615693300.36, 0.0, 0.0, 0.0, 0.0, 0.0047779417
1615693300.38, 0.0, 0.0, 0.0, 0.0, 0.00517117976
1615693300.4, 0.0, 0.0, 0.0, 0.0, 0.0055713415
1615693300.42, 0.0, 0.0, 0.0, 0.0, 0.00597904204
1615693300.44, 0.0, 0.0, 0.0, 0.0, 0.00637814044
1615693300.46, 0.0, 0.0, 0.0, 0.0, 0.00676814078
1615693300.48, 0.0, 0.0, 0.0, 0.0, 0.00716690062
1615693300.5, 0.0, 0.0, 0.0, 0.0, 0.00757091998
1615693300.52, 0.0, 0.0, 0.0, 0.0, 0.00794524192
1615693300.54, 0.0, 0.0, 0.0, 0.0, 0.00836696148
1615693300.56, 0.0, 0.0, 0.0, 0.0, 0.00877590178
1615693300.58, 0.0, 0.0, 0.0, 0.0, 0.00916873932
1615693300.6, 0.0, 0.0, 0.0, 0.0, 0.00957558154
1615693300.62, 0.0, 0.0, 0.0, 0.0, 0.00998661994
1615693300.64, 0.0, 0.0, 0.0, 0.0, 0.0103875017
1615693300.66, 0.0, 0.0, 0.0, 0.0, 0.01081175804
1615693300.68, 0.0, 0.0, 0.0, 0.0, 0.01115491866
1615693300.7, 0.0, 0.0, 0.0, 0.0, 0.01153654098
1615693300.72, 0.0, 0.0, 0.0, 0.0, 0.01192773818
1615693300.74, 0.0, 0.0, 0.0, 0.0, 0.0123589611
1615693300.76, 0.0, 0.0, 0.0, 0.0, 0.01274330138
1615693300.78, 0.0, 0.0, 0.0, 0.0, 0.01314258098
1615693300.8, 0.0, 0.0, 0.0, 0.0, 0.01356674194
1615693300.82, 0.0, 0.0, 0.0, 0.0, 0.0139675188
1615693300.84, 0.0, 0.0, 0.0, 0.0, 0.01437121868
1615693300.86, 0.0, 0.0, 0.0, 0.0, 0.0147743988
1615693300.88, 0.0, 0.0, 0.0, 0.0, 0.015174098
1615693300.9, 0.0, 0.0, 0.0, 0.0, 0.01552931784
1615693300.92, 0.0, 0.0, 0.0, 0.0, 0.0159279394
1615693300.94, 0.0, 0.0, 0.0, 0.0, 0.01636868
1615693300.96, 0.0, 0.0, 0.0, 0.0, 0.01675615786
1615693300.98, 0.0, 0.0, 0.0, 0.0, 0.01716204166
1615693301.0, 0.0, 0.0, 0.0, 0.0, 0.01757205962
1615693301.02, 0.0, 0.0, 0.0, 0.0, 0.01798667906
1615693301.04, 0.0, 0.0, 0.0, 0.0, 0.0183794403
1615693301.06, 0.0, 0.0, 0.0, 0.0, 0.01874413966
1615693301.08, 0.0, 0.0, 0.0, 0.0, 0.01916252136
1615693301.1, 0.0, 0.0, 0.0, 0.0, 0.01951921938
1615693301.12, 0.0, 0.0, 0.0, 0.0, 0.01993001938
1615693301.14, 0.0, 0.0, 0.0, 0.0, 0.020350461
1615693301.16, 0.0, 0.0, 0.0, 0.0, 0.02072147846
1615693301.18, 0.0, 0.0, 0.0, 0.0, 0.02115369796
1615693301.2, 0.0, 0.0, 0.0, 0.0, 0.02155399798
1615693301.21, 0.0, 0.0, 0.0, 0.0, 0.02190921782
1615693301.23, 0.0, 0.0, 0.0, 0.0, 0.02230718134
1615693301.25, 0.0, 0.0, 0.0, 0.0, 0.02271153926
1615693301.28, 0.0, 0.0, 0.0, 0.0, 0.02311848162
1615693301.3, 0.0, 0.0, 0.0, 0.0, 0.023514719
1615693301.32, 0.0, 0.0, 0.0, 0.0, 0.02392186164
1615693301.34, 0.0, 0.0, 0.0, 0.0, 0.0243211603
1615693301.36, 0.000275105005588, -6.74838036927e-06, 0.0134816862937, 0.0, 0.02452527999
1615693301.38, 0.000703291898157, -1.74332431855e-05, 0.0202382063759, 0.0, 0.02494855879
1615693301.4, 0.00117274629942, -2.9431571116e-05, 0.0233285651818, 0.0, 0.02555246353
1615693301.42, 0.00167781389265, -4.26312454453e-05, 0.026311854558, 0.0, 0.02612852332
